"uid","city_name","offense_code","offense_type","date_single","address","longitude","latitude","location_type","location_category","fips_state","fips_county","tract","block_group","block"
2872478,"Chicago","09A","murder and nonnegligent manslaughter",2015-01-03 05:50:00,"050XX W SUPERIOR ST",-87.751482,41.894009,"street","street",17,"031","251600",1,1002
2873990,"Chicago","09A","murder and nonnegligent manslaughter",2015-01-05 22:11:00,"035XX W 77TH PL",-87.710383,41.752417,"residence","residence",17,"031","700100",1,1044
2874041,"Chicago","09A","murder and nonnegligent manslaughter",2015-01-06 00:49:00,"093XX S BURNSIDE AVE",-87.607485,41.723546,"street","street",17,"031","490400",1,1023
2874296,"Chicago","09A","murder and nonnegligent manslaughter",2015-01-06 15:38:00,"022XX E 79TH ST",-87.570235,41.751678,"street","street",17,"031","460500",1,1003
2874356,"Chicago","09A","murder and nonnegligent manslaughter",2015-01-06 17:53:00,"022XX E 79TH ST",-87.570235,41.751678,"street","street",17,"031","460500",1,1003
2875361,"Chicago","09A","murder and nonnegligent manslaughter",2015-01-08 21:30:00,"012XX S ALBANY AVE",-87.703136,41.865562,"private vehicle","vehicle",17,"031","843100",1,1016
2875743,"Chicago","09A","murder and nonnegligent manslaughter",2015-01-09 16:20:00,"011XX W MARQUETTE RD",-87.653434,41.772347,"residence","residence",17,"031","681000",1,1018
2876002,"Chicago","09A","murder and nonnegligent manslaughter",2015-01-10 00:25:00,"000XX S KOSTNER AVE",-87.735464,41.880299,"street","street",17,"031","260600",1,1001
2878279,"Chicago","09A","murder and nonnegligent manslaughter",2015-01-13 17:40:00,"042XX S ROCKWELL ST",-87.689553,41.816502,"street","street",17,"031","580600",3,3000
2878439,"Chicago","09A","murder and nonnegligent manslaughter",2015-01-13 22:10:00,"039XX S CALUMET AVE",-87.61854,41.823354,"street","street",17,"031","835900",2,2012
2878910,"Chicago","09A","murder and nonnegligent manslaughter",2015-01-14 17:22:00,"081XX S ARTESIAN AVE",-87.684024,41.745712,"residence","residence",17,"031","700501",1,1026
2880417,"Chicago","09A","murder and nonnegligent manslaughter",2015-01-16 19:22:00,"024XX W 58TH ST",-87.684422,41.788383,"street","street",17,"031","835100",1,1033
2880940,"Chicago","09A","murder and nonnegligent manslaughter",2015-01-17 13:26:00,"040XX W 13TH ST",-87.725422,41.864338,"private vehicle","vehicle",17,"031","290900",1,1010
2881150,"Chicago","09A","murder and nonnegligent manslaughter",2015-01-17 19:10:00,"096XX S GREEN ST",-87.644364,41.718889,"street","street",17,"031","730400",1,1017
2881607,"Chicago","09A","murder and nonnegligent manslaughter",2015-01-18 12:20:00,"021XX W WARREN BLVD",-87.679713,41.882185,"private vehicle","vehicle",17,"031","837800",2,2024
2882935,"Chicago","09A","murder and nonnegligent manslaughter",2015-01-20 10:44:00,"078XX S COLES AVE",-87.552135,41.753758,"residence","residence",17,"031","431400",3,3011
2883518,"Chicago","09A","murder and nonnegligent manslaughter",2015-01-21 00:42:00,"053XX S MAY ST",-87.653743,41.797278,"residence","residence",17,"031","612000",2,2013
2883654,"Chicago","09A","murder and nonnegligent manslaughter",2015-01-21 09:25:00,"066XX S OAKLEY AVE",-87.680908,41.772959,"other open space","open space",17,"031","660700",2,2002
2884064,"Chicago","09A","murder and nonnegligent manslaughter",2015-01-21 19:39:00,"050XX S RACINE AVE",-87.65508,41.802277,"street","street",17,"031","611100",2,2003
2885574,"Chicago","09A","murder and nonnegligent manslaughter",2015-01-23 19:25:00,"079XX S VINCENNES AVE",-87.634297,41.750472,"vehicle parking","open space",17,"031","842400",3,3000
2885620,"Chicago","09A","murder and nonnegligent manslaughter",2015-01-23 20:18:00,"067XX S WESTERN AVE",-87.683413,41.770981,"street","street",17,"031","660700",2,2006
2885844,"Chicago","09A","murder and nonnegligent manslaughter",2015-01-24 02:13:00,"045XX W WEST END AVE",-87.739535,41.883196,"street","street",17,"031","260400",1,1020
2888008,"Chicago","09A","murder and nonnegligent manslaughter",2015-01-27 11:54:00,"035XX W 24TH ST",-87.712759,41.848054,"street","street",17,"031","300700",1,1013
